Protein.uniprotID	Protein.proID
P40955	PR_P40955
P90904	PR_P90904
Q6DHA0	PR_Q6DHA0
Q9LQW4	PR_Q9LQW4
Q9NVJ2	PR_Q9NVJ2
Q8R4T2	PR_Q8R4T2
Q9NPE6	PR_Q9NPE6
P84082	PR_P84082
Q8IY34	PR_Q8IY34
Q5TC12	PR_Q5TC12
Q08CN0	PR_Q08CN0
Q5VV41	PR_Q5VV41
P38632	PR_P38632
Q7XJE5	PR_Q7XJE5
Q9LIA8	PR_Q9LIA8
Q5FWT5	PR_Q5FWT5
Q5VZV1	PR_Q5VZV1
Q2YR40	PR_Q2YR40
Q3ZLR7	PR_Q3ZLR7
Q39251	PR_Q39251
O22854	PR_O22854
Q922H9	PR_Q922H9
Q6NS46	PR_Q6NS46
D6W196	PR_D6W196
O55028	PR_O55028
P77624	PR_P77624
P54219	PR_P54219
Q46812	PR_Q46812
Q4FJU9	PR_Q4FJU9
Q9VBB3	PR_Q9VBB3
B0BL87	PR_B0BL87
P62718	PR_P62718
Q5F3L7	PR_Q5F3L7
Q9W7R5	PR_Q9W7R5
Q7JKP6	PR_Q7JKP6
Q8BFP9	PR_Q8BFP9
Q9H6L2	PR_Q9H6L2
P78423	PR_P78423
Q9LMT1	PR_Q9LMT1
Q92879	PR_Q92879
P21238	PR_P21238
P18475	PR_P18475
Q00403	PR_Q00403
Q09170	PR_Q09170
O91742	PR_O91742
Q42602	PR_Q42602
Q42539	PR_Q42539
Q7YXD4	PR_Q7YXD4
F4HVJ3	PR_F4HVJ3
Q8WYJ6	PR_Q8WYJ6
P42260	PR_P42260
O01668	PR_O01668
P49337	PR_P49337
A6PVL3	PR_A6PVL3
Q1L990	PR_Q1L990
P0DN74	PR_P0DN74
Q76HL1	PR_Q76HL1
Q9GZC8	PR_Q9GZC8
A5HYY0	PR_A5HYY0
Q99KS2	PR_Q99KS2
Q8NGP3	PR_Q8NGP3
P13500	PR_P13500
Q9SD82	PR_Q9SD82
Q9UTB1	PR_Q9UTB1
P39384	PR_P39384
O04035	PR_O04035
Q6NNI8	PR_Q6NNI8
P34307	PR_P34307
Q9NNW7	PR_Q9NNW7
Q9D074	PR_Q9D074
Q61647	PR_Q61647
P09367	PR_P09367
Q9LRJ4	PR_Q9LRJ4
Q9EQ00	PR_Q9EQ00
Q2EER5	PR_Q2EER5
Q9XXN3	PR_Q9XXN3
Q84N34	PR_Q84N34
P27515	PR_P27515
P28791	PR_P28791
P12526	PR_P12526
Q54HJ2	PR_Q54HJ2
Q9NUS5	PR_Q9NUS5
F1M8G0	PR_F1M8G0
Q80X72	PR_Q80X72
Q04599	PR_Q04599
Q8YFT0	PR_Q8YFT0
Q9FIW4	PR_Q9FIW4
P02513	PR_P02513
P0C090	PR_P0C090
Q9W3V8	PR_Q9W3V8
O35137	PR_O35137
P11403	PR_P11403
Q05329	PR_Q05329
