Chemical.meshID	Chemical.chebiID
MESH_C423629	CHEBI_26889
MESH_C037904	CHEBI_33980
MESH_D012146	CHEBI_24433
MESH_D017279	CHEBI_9093
MESH_D008246	CHEBI_16961
MESH_D003847	CHEBI_23623
MESH_C056848	CHEBI_28854
MESH_C017185	CHEBI_144775
MESH_C473834	CHEBI_82984
MESH_C016299	CHEBI_78373
MESH_C514857	CHEBI_32936
MESH_D006000	CHEBI_17687
MESH_D002744	CHEBI_52010
MESH_C004720	CHEBI_2247
MESH_C008237	CHEBI_142460
MESH_C501183	CHEBI_7855
MESH_C055142	CHEBI_34269
MESH_C007738	CHEBI_33083
MESH_C081750	CHEBI_31738
MESH_C038764	CHEBI_28970
MESH_C446243	CHEBI_28620
MESH_C041477	CHEBI_5078
MESH_D010248	CHEBI_7922
MESH_C111939	CHEBI_29118
MESH_C031552	CHEBI_17540
MESH_C039592	CHEBI_32590
MESH_C538774	CHEBI_84634
MESH_C019549	CHEBI_17433
MESH_C004609	CHEBI_59012
MESH_C002980	CHEBI_27955
MESH_C011069	CHEBI_48863
MESH_D000068238	CHEBI_34945
MESH_C074702	CHEBI_33007
MESH_C079415	CHEBI_64078
MESH_D000517	CHEBI_18721
MESH_D011139	CHEBI_8327
MESH_C004173	CHEBI_28309
MESH_C543733	CHEBI_78843
MESH_D000077236	CHEBI_63631
MESH_C522828	CHEBI_52488
MESH_C012475	CHEBI_32304
MESH_C030691	CHEBI_33198
MESH_C121237	CHEBI_60297
MESH_C498112	CHEBI_17947
MESH_C038610	CHEBI_88473
MESH_C427507	CHEBI_18388
MESH_D015842	CHEBI_48353
MESH_C056937	CHEBI_30891
MESH_C025591	CHEBI_34477
MESH_C012454	CHEBI_31908
MESH_C001449	CHEBI_99
MESH_C429623	CHEBI_9422
MESH_C111668	CHEBI_35032
MESH_C409672	CHEBI_38486
MESH_D013422	CHEBI_32164
MESH_C581764	CHEBI_167512
MESH_C010565	CHEBI_27844
MESH_C009320	CHEBI_132715
MESH_C015836	CHEBI_6900
