Protein.proID	Cofactor.chebiID
PR_Q9NRY6	CHEBI_29108
PR_Q9NRY6	CHEBI_18420
PR_Q8TC59	CHEBI_18420
PR_Q9Y3Z3	CHEBI_29105
PR_Q53H47	CHEBI_18420
PR_P78330	CHEBI_18420
PR_P08237	CHEBI_18420
PR_O95630	CHEBI_29105
PR_Q9NV66	CHEBI_49883
PR_Q9HAU8	CHEBI_29105
PR_Q96NY9	CHEBI_18420
PR_O75306	CHEBI_49883
PR_O60906	CHEBI_18420
PR_Q15166	CHEBI_29108
PR_P51688	CHEBI_29108
PR_Q8IXJ6	CHEBI_29105
PR_P29122	CHEBI_29108
PR_Q9UHB4	CHEBI_58210
PR_Q9UHB4	CHEBI_57692
PR_Q02218	CHEBI_58937
PR_Q16549	CHEBI_29108
PR_Q9UM07	CHEBI_29108
PR_O60346	CHEBI_29035
PR_Q01813	CHEBI_18420
PR_Q96GD0	CHEBI_18420
PR_P00390	CHEBI_57692
PR_Q9NYQ3	CHEBI_58210
PR_P13196	CHEBI_597326
PR_O00443	CHEBI_29108
PR_O00443	CHEBI_18420
PR_P05164	CHEBI_29108
PR_P05164	CHEBI_60344
PR_Q96HN2	CHEBI_57540
PR_Q9Y617	CHEBI_597326
PR_P21912	CHEBI_49601
PR_P21912	CHEBI_21137
PR_P21912	CHEBI_49883
PR_P04179	CHEBI_29035
PR_P28331	CHEBI_49601
PR_P28331	CHEBI_49883
PR_O95502	CHEBI_29108
PR_Q9Y5B8	CHEBI_18420
PR_Q9NXE4	CHEBI_18420
PR_Q16518	CHEBI_29033
PR_P35813	CHEBI_18420
PR_P35813	CHEBI_29035
PR_Q8TAC1	CHEBI_49601
PR_Q9Y253	CHEBI_18420
PR_Q9Y253	CHEBI_29035
PR_P50336	CHEBI_57692
PR_O14730	CHEBI_18420
PR_Q9UL12	CHEBI_57692
PR_P60484	CHEBI_18420
PR_Q9P0J1	CHEBI_18420
PR_Q86TP1	CHEBI_29035
PR_Q6PK18	CHEBI_38290
PR_Q6PK18	CHEBI_29033
PR_Q3MJ16	CHEBI_29108
PR_P51617	CHEBI_18420
PR_Q9Y2Z2	CHEBI_57692
PR_Q5XG87	CHEBI_18420
PR_Q5XG87	CHEBI_29035
PR_Q8NDF8	CHEBI_18420
PR_Q8NDF8	CHEBI_29035
PR_Q07343	CHEBI_60240
PR_Q9NXG6	CHEBI_38290
PR_Q9NXG6	CHEBI_29033
PR_Q92871	CHEBI_18420
PR_P14222	CHEBI_29108
PR_P67775	CHEBI_29035
PR_Q86YW0	CHEBI_29108
PR_Q6YP21	CHEBI_597326
PR_O15021	CHEBI_18420
PR_P36507	CHEBI_18420
PR_Q6DT37	CHEBI_18420
PR_P13995	CHEBI_18420
PR_Q9NZV6	CHEBI_29105
PR_Q15800	CHEBI_24875
PR_Q9UKK9	CHEBI_18420
PR_P12694	CHEBI_58937
PR_Q13370	CHEBI_60240
PR_Q504Q3	CHEBI_60240
PR_Q9BX93	CHEBI_29108
PR_P14780	CHEBI_29105
PR_P14780	CHEBI_29108
PR_Q9NPA2	CHEBI_29105
