Protein.proID	Catalyst.chebiID
PR_Q96MI6	CHEBI_30013
PR_Q96MI6	CHEBI_29999
PR_P48651	CHEBI_57603
PR_P48651	CHEBI_64612
PR_P48651	CHEBI_33384
PR_P48651	CHEBI_15354
PR_P48651	CHEBI_57643
PR_P48651	CHEBI_57262
PR_P28827	CHEBI_15377
PR_P28827	CHEBI_43474
PR_P28827	CHEBI_46858
PR_P28827	CHEBI_82620
PR_P61026	CHEBI_15377
PR_P61026	CHEBI_15378
PR_P61026	CHEBI_43474
PR_P61026	CHEBI_37565
PR_P61026	CHEBI_58189
PR_Q96LT4	CHEBI_78656
PR_Q96LT4	CHEBI_67042
PR_Q96LT4	CHEBI_65107
PR_Q96LT4	CHEBI_64612
PR_Q96LT4	CHEBI_17815
PR_Q96LT4	CHEBI_78654
PR_Q9HD40	CHEBI_16144
PR_Q9HD40	CHEBI_15377
PR_Q9HD40	CHEBI_43474
PR_Q9HD40	CHEBI_78551
PR_Q9HD40	CHEBI_78573
PR_Q9UJ37	CHEBI_15378
PR_Q9UJ37	CHEBI_57812
PR_Q9UJ37	CHEBI_60377
PR_Q9UJ37	CHEBI_133470
PR_Q9UJ37	CHEBI_140764
PR_Q86VZ5	CHEBI_67042
PR_Q86VZ5	CHEBI_65107
PR_Q86VZ5	CHEBI_17636
PR_Q86VZ5	CHEBI_78421
PR_Q86VZ5	CHEBI_82983
PR_Q86VZ5	CHEBI_78647
PR_Q86VZ5	CHEBI_17815
PR_Q86VZ5	CHEBI_57643
PR_Q86VZ5	CHEBI_78650
PR_Q86VZ5	CHEBI_52639
PR_O95470	CHEBI_17600
PR_O95470	CHEBI_17585
PR_O95470	CHEBI_57939
PR_O95470	CHEBI_60119
PR_O95470	CHEBI_58190
PR_Q96Q15	CHEBI_15378
PR_Q96Q15	CHEBI_30616
PR_Q96Q15	CHEBI_61977
PR_Q96Q15	CHEBI_83421
PR_Q96Q15	CHEBI_30013
PR_Q96Q15	CHEBI_456216
PR_Q96Q15	CHEBI_29999
PR_P49888	CHEBI_28689
PR_P49888	CHEBI_57905
PR_P49888	CHEBI_60050
PR_P49888	CHEBI_15378
PR_P49888	CHEBI_58339
PR_P49888	CHEBI_136582
PR_P49888	CHEBI_136567
PR_P49888	CHEBI_16469
PR_P49888	CHEBI_34310
PR_P49888	CHEBI_58343
PR_P49888	CHEBI_17263
PR_P46977	CHEBI_57570
PR_P46977	CHEBI_15378
PR_P46977	CHEBI_132529
PR_P46977	CHEBI_57497
PR_P46977	CHEBI_50347
PR_Q96DR4	CHEBI_16113
PR_Q9GZT4	CHEBI_15361
PR_Q9GZT4	CHEBI_33384
PR_Q9GZT4	CHEBI_28938
PR_Q9GZT4	CHEBI_35247
PR_P50897	CHEBI_15377
PR_P50897	CHEBI_15378
PR_P50897	CHEBI_74151
PR_P50897	CHEBI_7896
PR_P50897	CHEBI_29950
PR_Q8WY54	CHEBI_15377
PR_Q8WY54	CHEBI_43474
PR_Q8WY54	CHEBI_61977
PR_Q8WY54	CHEBI_83421
PR_Q8WY54	CHEBI_30013
PR_Q8WY54	CHEBI_29999
PR_Q9NQW5	CHEBI_57856
PR_Q9NQW5	CHEBI_29969
PR_Q9NQW5	CHEBI_15378
PR_Q9NQW5	CHEBI_61929
PR_Q9NQW5	CHEBI_59789
PR_O94762	CHEBI_15377
PR_O94762	CHEBI_15378
PR_O94762	CHEBI_43474
PR_O94762	CHEBI_30616
PR_O94762	CHEBI_456216
PR_Q15493	CHEBI_15377
PR_Q15493	CHEBI_15378
PR_Q15493	CHEBI_18391
PR_Q15493	CHEBI_16217
PR_Q9NQL2	CHEBI_15377
PR_Q9NQL2	CHEBI_15378
PR_Q9NQL2	CHEBI_43474
PR_Q9NQL2	CHEBI_37565
PR_Q9NQL2	CHEBI_58189
PR_Q9Y2K2	CHEBI_15378
PR_Q9Y2K2	CHEBI_30616
PR_Q9Y2K2	CHEBI_61977
PR_Q9Y2K2	CHEBI_83421
PR_Q9Y2K2	CHEBI_30013
PR_Q9Y2K2	CHEBI_456216
PR_Q9Y2K2	CHEBI_29999
PR_Q8TBX8	CHEBI_15378
PR_Q8TBX8	CHEBI_57795
PR_Q8TBX8	CHEBI_30616
PR_Q8TBX8	CHEBI_58456
PR_Q8TBX8	CHEBI_84968
PR_Q8TBX8	CHEBI_37565
PR_Q8TBX8	CHEBI_58189
PR_Q8TBX8	CHEBI_456216
PR_Q8TBX8	CHEBI_83423
PR_Q9NRF8	CHEBI_15377
PR_Q9NRF8	CHEBI_29985
PR_Q9NRF8	CHEBI_15378
PR_Q9NRF8	CHEBI_43474
PR_Q9NRF8	CHEBI_58359
PR_Q9NRF8	CHEBI_30616
PR_Q9NRF8	CHEBI_37563
PR_Q9NRF8	CHEBI_46398
PR_Q9NRF8	CHEBI_456216
PR_Q8NBN7	CHEBI_15378
PR_Q8NBN7	CHEBI_57783
PR_Q8NBN7	CHEBI_17336
PR_Q8NBN7	CHEBI_17898
PR_Q8NBN7	CHEBI_58349
PR_Q9Y3L5	CHEBI_15377
PR_Q9Y3L5	CHEBI_15378
PR_Q9Y3L5	CHEBI_43474
