Phenotype.umls	Phenotype.hpoID
C1845169	HP_0000117
C0080276	HP_0000119
C4020895	HP_0000119
C0042063	HP_0000119
C0027709	HP_0000121
C0266294	HP_0000122
C0027697	HP_0000123
C0151747	HP_0000124
C0268709	HP_0000124
C0221209	HP_0000125
C0020295	HP_0000126
C1846347	HP_0000127
C1846348	HP_0000128
C0266383	HP_0000130
C0042133	HP_0000131
C0025323	HP_0000132
C0018051	HP_0000133
C0687149	HP_0000133
C0018055	HP_0000133
C0271578	HP_0000134
C0020619	HP_0000135
C1850327	HP_0000136
C0029928	HP_0000137
C4021818	HP_0000137
C0029927	HP_0000138
C0042140	HP_0000139
C4025888	HP_0000140
C1856023	HP_0000142
C0034895	HP_0000143
C0520927	HP_0000144
C1856006	HP_0000145
C1136382	HP_0000147
C0032460	HP_0000147
C1321884	HP_0003250
C1321884	HP_0000148
C1518716	HP_0000149
C0206661	HP_0000150
C0425913	HP_0000151
C4021817	HP_0000152
C0026633	HP_0000153
C0024433	HP_0000154
C0149745	HP_0000155
C0878638	HP_0000157
C0024421	HP_0000158
C0026034	HP_0000160
C1850256	HP_0000161
C0267048	HP_0000162
C4025887	HP_0000163
C0262444	HP_0000164
C0262444	HP_0006482
C4025886	HP_0000166
C4021816	HP_0000168
C0016049	HP_0000169
C0399440	HP_0000169
C0025988	HP_0000171
C4025885	HP_0000172
C4021815	HP_0000174
C2981150	HP_0000175
C0432103	HP_0000176
C4025884	HP_0000177
C4025883	HP_0000178
C1839739	HP_0000179
C0431564	HP_0000180
C4025882	HP_0000182
C1853406	HP_0000183
C0432098	HP_0000185
C1857500	HP_0000187
C1848977	HP_0000188
C1398312	HP_0000189
C4025881	HP_0000190
C4021814	HP_0000191
C4551488	HP_0000193
C0240379	HP_0000194
C1861544	HP_0000196
C4025880	HP_0000197
C1858569	HP_0000198
C0241438	HP_0000199
C0426501	HP_0000200
C0031900	HP_0000201
C0158646	HP_0000202
C4021813	HP_0000202
C0008924	HP_0000204
C1832130	HP_0000205
C0017675	HP_0000206
C1849341	HP_0000207
C0041105	HP_0000211
C0017567	HP_0000212
C0017566	HP_0000212
C0376480	HP_0000212
C1857697	HP_0000214
C1846423	HP_0000215
C1839276	HP_0000216
C0043352	HP_0000217
C0240635	HP_0000218
C1865017	HP_0000219
C4280669	HP_0000220
C0042454	HP_0000220
C0040412	HP_0000221
C1857013	HP_0000222
C0151934	HP_0000224
C0017565	HP_0000225
C4025878	HP_0000227
C4025877	HP_0000228
C0017574	HP_0000230
C1853246	HP_0000232
C0578038	HP_0000233
C4021812	HP_0000234
C4025876	HP_0000235
C4025875	HP_0000236
C1859455	HP_0000237
C0020255	HP_0000238
C0456132	HP_0000239
C4025874	HP_0000240
C1857126	HP_0000242
C0265535	HP_0000243
C1857484	HP_0000244
C0030469	HP_0000246
C0037199	HP_0000246
C0221356	HP_0000248
C1854834	HP_0000250
C4551563	HP_0000252
C1850456	HP_0000253
C2243051	HP_0000256
C1866134	HP_0000260
C0030044	HP_0000262
C4025872	HP_0000264
C0024904	HP_0000265
C1860245	HP_0000267
C0221358	HP_0000268
C1853737	HP_0000269
C0277828	HP_0000270
C0266617	HP_0000271
C0266617	HP_0001999
C4025871	HP_0000271
C1858085	HP_0000272
C0234853	HP_0000273
C1855538	HP_0000274
C1837463	HP_0000275
C1836047	HP_0000276
C4025870	HP_0000277
C3494422	HP_0000278
C1845847	HP_0000280
C0542571	HP_0000282
C1859680	HP_0000283
C0678230	HP_0000286
C4025868	HP_0000287
C1857045	HP_0000288
C1854111	HP_0000289
C4025867	HP_0000290
C1837767	HP_0000292
C1866231	HP_0000293
C1842366	HP_0000294
C1856361	HP_0000295
C1845251	HP_0000297
C0424448	HP_0000298
C1849025	HP_0000300
C4025865	HP_0000301
C4280644	HP_0000303
C0399526	HP_0000303
C1844505	HP_0000307
C1839546	HP_0000308
C4021811	HP_0000309
C0239479	HP_0000311
C4025863	HP_0000315
C0020534	HP_0000316
C0270871	HP_0000317
C1142533	HP_0000319
C1837758	HP_0000320
C1832127	HP_0000321
C1861324	HP_0000322
C1306710	HP_0000324
C1835884	HP_0000325
C4025862	HP_0000326
C0240310	HP_0000327
C1861443	HP_0000329
C3697248	HP_0000331
C1842060	HP_0000336
C1849089	HP_0000337
C1862474	HP_0004673
C1862474	HP_0000338
C0813217	HP_0000338
C1846011	HP_0000339
C1857679	HP_0000340
C1839758	HP_0000341
C1865014	HP_0000343
C1848473	HP_0000346
C4024589	HP_0009118
C0025990	HP_0000347
C0239676	HP_0000348
C1853486	HP_0000349
C1845250	HP_0000350
C0266589	HP_0000356
C0266589	HP_0000598
C1846460	HP_0000356
C1846460	HP_0008572
C4021810	HP_0000357
C0431478	HP_0000358
C0040264	HP_0000360
C0029899	HP_0000362
C4021808	HP_0000363
C4025860	HP_0000364
C0339789	HP_0000365
C0011053	HP_0000365
C1384666	HP_0000365
C0265736	HP_0000366
C1857486	HP_0000368
C0239234	HP_0000369
C1861141	HP_0000370
C0271429	HP_0000371
C4021807	HP_0000372
C4025858	HP_0000375
C4025857	HP_0000376
C0857379	HP_0000377
C1845447	HP_0000378
C1861326	HP_0000381
C1860816	HP_0000384
C1842680	HP_0000385
C1849364	HP_0000387
C0029882	HP_0000388
C0271441	HP_0000389
C1837732	HP_0000391
C0266614	HP_0000394
C1845272	HP_0000395
C1837731	HP_0000396
C4021806	HP_0000399
C0152421	HP_0000400
C0395837	HP_0000402
C0747085	HP_0040268
C0747085	HP_0000403
C0018777	HP_0000405
C0018784	HP_0000407
C1843156	HP_0000408
C0155552	HP_0000410
C1855285	HP_0000411
C1866190	HP_0000413
C0240543	HP_0000414
C1857645	HP_0000417
C1837761	HP_0000418
C4316811	HP_0000419
C1844857	HP_0000420
C0014591	HP_0000421
C4021805	HP_0000422
C1854113	HP_0000426
C4021804	HP_0000429
C1834055	HP_0000430
C1849367	HP_0000431
C4025854	HP_0000433
C4025853	HP_0000434
C1859717	HP_0000437
C0240538	HP_0000444
C0426421	HP_0000445
C4551564	HP_0000446
C1853482	HP_0000447
C0426415	HP_0000448
C1839765	HP_0000451
C0584837	HP_0000452
C0008297	HP_0000453
C4551517	HP_0000454
C0277873	HP_0000454
C0277873	HP_0030863
C0426429	HP_0000455
C0426428	HP_0000456
C1842876	HP_0000457
C0003126	HP_0000458
C0426422	HP_0000460
C1840077	HP_0000463
C0266623	HP_0000464
C0221217	HP_0000465
C1859212	HP_0000466
C0240479	HP_0000467
C4025850	HP_0000468
C0521525	HP_0000470
C0854242	HP_0000471
C1839816	HP_0000472
C0949445	HP_0000473
C0152116	HP_0000473
C0040485	HP_0000473
C1836940	HP_0000474
C1853638	HP_0000475
C0206620	HP_0000476
C0015397	HP_0000478
C4316870	HP_0000478
C0035300	HP_0000479
C0035309	HP_0000488
C0035309	HP_0000479
C3540764	HP_0000480
C1855670	HP_0000481
C0266544	HP_0000482
C0004106	HP_0000483
C1847524	HP_0000484
C0344530	HP_0000485
C0038379	HP_0000486
C0423224	HP_0000490
C0014306	HP_0000490
C0022568	HP_0000491
C4021803	HP_0000492
C4025849	HP_0000493
C0423110	HP_0000494
C0010043	HP_0000495
C0010043	HP_0012804
C0155119	HP_0000495
C0497202	HP_0000496
C0005741	HP_0000498
C2675111	HP_0000499
C0017601	HP_0000501
C4025847	HP_0000502
C1855391	HP_0000503
C4025846	HP_0000504
C0042798	HP_0000505
C3665347	HP_0000505
C0423113	HP_0000506
C0005745	HP_0000508
C0009763	HP_0000509
C0035334	HP_0000510
C0035334	HP_0000580
C4551714	HP_0000510
C1843369	HP_0000511
C0339652	HP_0000511
C0476397	HP_0000512
C1321329	HP_0000514
C0023308	HP_0000517
C0549651	HP_0000517
C0086543	HP_0000518
C1510497	HP_0000518
C3277059	HP_0000519
C0009691	HP_0000519
C0015300	HP_0000520
C0344505	HP_0000522
C0235259	HP_0000523
C0239105	HP_0000524
C4025845	HP_0000525
C0003076	HP_0000526
C1853738	HP_0000527
C0003119	HP_0000528
C1839364	HP_0000529
C1096610	HP_0000531
C4025844	HP_0000532
C4048273	HP_0000533
C4011556	HP_0000534
C4282407	HP_0000535
C1303003	HP_0000537
C0155300	HP_0000538
C4025843	HP_0000539
C0020490	HP_0000540
C0035305	HP_0000541
C1846463	HP_0000542
C0554970	HP_0000543
C0162674	HP_0000590
C0162674	HP_0000544
C0162292	HP_0000544
C0027092	HP_0000545
C0035304	HP_0001105
C0035304	HP_0000546
C4085590	HP_0000548
C0730290	HP_0008020
C1845274	HP_0000549
C1855685	HP_0000550
C0009398	HP_0000551
C0234629	HP_0000551
C0155017	HP_0000552
C4025842	HP_0000553
C0042164	HP_0000554
C0152458	HP_0000555
C0854723	HP_0000556
C4551507	HP_0000557
C0265341	HP_0000558
C0349702	HP_0000559
C1843005	HP_0000561
C0022578	HP_0000563
C0344511	HP_0000564
C0014877	HP_0000565
C0240896	HP_0000567
C0026010	HP_0000568
C0234649	HP_0000570
C0423082	HP_0000571
C3665386	HP_0000572
C0035317	HP_0000573
C1853487	HP_0000574
C0036454	HP_0000575
C0271196	HP_0000576
C0015310	HP_0000577
C1281931	HP_0000579
C0022906	HP_0000579
C4551715	HP_0000580
C1833999	HP_0000580
C0005744	HP_0000581
C0423109	HP_0000582
C0155120	HP_0000585
C0155120	HP_0007709
C1865244	HP_0000586
C0029131	HP_0000587
C0155299	HP_0000588
C0009363	HP_0000589
C4025840	HP_0000591
C0542514	HP_0000592
C3152182	HP_0000593
C0423276	HP_0000594
C0751401	HP_0000597
C4025839	HP_0000599
C4025838	HP_0000600
C0424711	HP_0000601
C0029089	HP_0000602
C0152191	HP_0000603
C1720037	HP_0000605
C1844605	HP_0000607
