DATAFLOW,LAST UPDATE,freq,unit,itm_newa,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:AACT_ALI02(1.0),16/12/24 11:00:00,A,I05,40000,DK,1988,166.61,
ESTAT:AACT_ALI02(1.0),16/12/24 11:00:00,A,I05,40000,DK,1989,164.67,
ESTAT:AACT_ALI02(1.0),16/12/24 11:00:00,A,I05,40000,DK,1990,166.55,
ESTAT:AACT_ALI02(1.0),16/12/24 11:00:00,A,I05,40000,DK,1991,161.08,
ESTAT:AACT_ALI02(1.0),16/12/24 11:00:00,A,I05,40000,DK,1992,157.46,
ESTAT:AACT_ALI02(1.0),16/12/24 11:00:00,A,I05,40000,DK,1993,155.37,
ESTAT:AACT_ALI02(1.0),16/12/24 11:00:00,A,I05,40000,DK,1994,147.57,
ESTAT:AACT_ALI02(1.0),16/12/24 11:00:00,A,I05,40000,DK,1995,142.29,
ESTAT:AACT_ALI02(1.0),16/12/24 11:00:00,A,I05,40000,DK,1996,140.49,
ESTAT:AACT_ALI02(1.0),16/12/24 11:00:00,A,I05,40000,DK,1997,136.80,
ESTAT:AACT_ALI02(1.0),16/12/24 11:00:00,A,I05,40000,DK,1998,130.41,
ESTAT:AACT_ALI02(1.0),16/12/24 11:00:00,A,I05,40000,DK,1999,123.90,
ESTAT:AACT_ALI02(1.0),16/12/24 11:00:00,A,I05,40000,DK,2000,120.10,
ESTAT:AACT_ALI02(1.0),16/12/24 11:00:00,A,I05,40000,DK,2001,120.49,
ESTAT:AACT_ALI02(1.0),16/12/24 11:00:00,A,I05,40000,DK,2002,114.75,
ESTAT:AACT_ALI02(1.0),16/12/24 11:00:00,A,I05,40000,DK,2003,111.27,
ESTAT:AACT_ALI02(1.0),16/12/24 11:00:00,A,I05,40000,DK,2004,106.36,
ESTAT:AACT_ALI02(1.0),16/12/24 11:00:00,A,I05,40000,DK,2005,100.00,
ESTAT:AACT_ALI02(1.0),16/12/24 11:00:00,A,I05,40000,DK,2006,96.82,
ESTAT:AACT_ALI02(1.0),16/12/24 11:00:00,A,I05,40000,DK,2007,93.48,
ESTAT:AACT_ALI02(1.0),16/12/24 11:00:00,A,I05,40000,DK,2008,92.37,
ESTAT:AACT_ALI02(1.0),16/12/24 11:00:00,A,I05,40000,DK,2009,87.60,
ESTAT:AACT_ALI02(1.0),16/12/24 11:00:00,A,I05,40000,DK,2010,86.17,
ESTAT:AACT_ALI02(1.0),16/12/24 11:00:00,A,I05,40000,DK,2011,82.77,
ESTAT:AACT_ALI02(1.0),16/12/24 11:00:00,A,I05,40000,DK,2012,83.40,
ESTAT:AACT_ALI02(1.0),16/12/24 11:00:00,A,I05,40000,DK,2013,83.80,
ESTAT:AACT_ALI02(1.0),16/12/24 11:00:00,A,I05,40000,DK,2014,85.99,
ESTAT:AACT_ALI02(1.0),16/12/24 11:00:00,A,I05,40000,DK,2015,86.93,
ESTAT:AACT_ALI02(1.0),16/12/24 11:00:00,A,I05,40000,DK,2016,87.41,
ESTAT:AACT_ALI02(1.0),16/12/24 11:00:00,A,I05,40000,DK,2017,87.11,
ESTAT:AACT_ALI02(1.0),16/12/24 11:00:00,A,I05,40000,DK,2018,83.43,
ESTAT:AACT_ALI02(1.0),16/12/24 11:00:00,A,I05,40000,DK,2019,80.73,
ESTAT:AACT_ALI02(1.0),16/12/24 11:00:00,A,I05,40000,DK,2020,102.96,
ESTAT:AACT_ALI02(1.0),16/12/24 11:00:00,A,I05,40000,DK,2021,102.96,e
ESTAT:AACT_ALI02(1.0),16/12/24 11:00:00,A,I05,40000,EA11,1991,147.18,
ESTAT:AACT_ALI02(1.0),16/12/24 11:00:00,A,I05,40000,EA11,1992,140.20,
ESTAT:AACT_ALI02(1.0),16/12/24 11:00:00,A,I05,40000,EA11,1993,133.69,
ESTAT:AACT_ALI02(1.0),16/12/24 11:00:00,A,I05,40000,EA11,1994,129.11,
ESTAT:AACT_ALI02(1.0),16/12/24 11:00:00,A,I05,40000,EA11,1995,124.51,
ESTAT:AACT_ALI02(1.0),16/12/24 11:00:00,A,I05,40000,EA11,1996,122.49,
ESTAT:AACT_ALI02(1.0),16/12/24 11:00:00,A,I05,40000,EA11,1997,120.75,
ESTAT:AACT_ALI02(1.0),16/12/24 11:00:00,A,I05,40000,EA11,1998,119.24,
