DATAFLOW,LAST UPDATE,freq,itm_newa,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:AACT_ALI01(1.0),16/12/24 11:00:00,A,40000,BG,2009,435.80,
ESTAT:AACT_ALI01(1.0),16/12/24 11:00:00,A,40000,BG,2010,406.50,
ESTAT:AACT_ALI01(1.0),16/12/24 11:00:00,A,40000,BG,2011,375.80,
ESTAT:AACT_ALI01(1.0),16/12/24 11:00:00,A,40000,BG,2012,347.40,
ESTAT:AACT_ALI01(1.0),16/12/24 11:00:00,A,40000,BG,2013,321.20,
ESTAT:AACT_ALI01(1.0),16/12/24 11:00:00,A,40000,BG,2014,296.40,
ESTAT:AACT_ALI01(1.0),16/12/24 11:00:00,A,40000,BG,2015,274.30,
ESTAT:AACT_ALI01(1.0),16/12/24 11:00:00,A,40000,BG,2016,253.90,
ESTAT:AACT_ALI01(1.0),16/12/24 11:00:00,A,40000,BG,2017,235.90,
ESTAT:AACT_ALI01(1.0),16/12/24 11:00:00,A,40000,BG,2018,217.90,
ESTAT:AACT_ALI01(1.0),16/12/24 11:00:00,A,40000,BG,2019,199.90,
ESTAT:AACT_ALI01(1.0),16/12/24 11:00:00,A,40000,BG,2020,181.90,
ESTAT:AACT_ALI01(1.0),16/12/24 11:00:00,A,40000,BG,2021,163.90,
ESTAT:AACT_ALI01(1.0),16/12/24 11:00:00,A,40000,BG,2022,152.70,
ESTAT:AACT_ALI01(1.0),16/12/24 11:00:00,A,40000,BG,2023,141.50,
ESTAT:AACT_ALI01(1.0),16/12/24 11:00:00,A,40000,BG,2024,130.00,e
ESTAT:AACT_ALI01(1.0),16/12/24 11:00:00,A,40000,CH,1985,131.88,
ESTAT:AACT_ALI01(1.0),16/12/24 11:00:00,A,40000,CH,1986,130.31,
ESTAT:AACT_ALI01(1.0),16/12/24 11:00:00,A,40000,CH,1987,127.83,
ESTAT:AACT_ALI01(1.0),16/12/24 11:00:00,A,40000,CH,1988,126.26,
ESTAT:AACT_ALI01(1.0),16/12/24 11:00:00,A,40000,CH,1989,125.24,
ESTAT:AACT_ALI01(1.0),16/12/24 11:00:00,A,40000,CH,1990,125.02,
ESTAT:AACT_ALI01(1.0),16/12/24 11:00:00,A,40000,CH,1991,127.06,
ESTAT:AACT_ALI01(1.0),16/12/24 11:00:00,A,40000,CH,1992,124.22,
ESTAT:AACT_ALI01(1.0),16/12/24 11:00:00,A,40000,CH,1993,121.06,
ESTAT:AACT_ALI01(1.0),16/12/24 11:00:00,A,40000,CH,1994,115.54,
ESTAT:AACT_ALI01(1.0),16/12/24 11:00:00,A,40000,CH,1995,112.51,
ESTAT:AACT_ALI01(1.0),16/12/24 11:00:00,A,40000,CH,1996,114.42,
ESTAT:AACT_ALI01(1.0),16/12/24 11:00:00,A,40000,CH,1997,109.00,
ESTAT:AACT_ALI01(1.0),16/12/24 11:00:00,A,40000,CH,1998,106.41,
ESTAT:AACT_ALI01(1.0),16/12/24 11:00:00,A,40000,CH,1999,105.49,
ESTAT:AACT_ALI01(1.0),16/12/24 11:00:00,A,40000,CH,2000,100.99,
ESTAT:AACT_ALI01(1.0),16/12/24 11:00:00,A,40000,CH,2001,99.30,
ESTAT:AACT_ALI01(1.0),16/12/24 11:00:00,A,40000,CH,2002,95.24,
ESTAT:AACT_ALI01(1.0),16/12/24 11:00:00,A,40000,CH,2003,93.16,
ESTAT:AACT_ALI01(1.0),16/12/24 11:00:00,A,40000,CH,2004,91.80,
ESTAT:AACT_ALI01(1.0),16/12/24 11:00:00,A,40000,CH,2005,88.77,
ESTAT:AACT_ALI01(1.0),16/12/24 11:00:00,A,40000,CH,2006,88.28,
ESTAT:AACT_ALI01(1.0),16/12/24 11:00:00,A,40000,CH,2007,86.07,
ESTAT:AACT_ALI01(1.0),16/12/24 11:00:00,A,40000,CH,2008,85.00,
ESTAT:AACT_ALI01(1.0),16/12/24 11:00:00,A,40000,CH,2009,80.87,
ESTAT:AACT_ALI01(1.0),16/12/24 11:00:00,A,40000,CH,2010,80.29,
ESTAT:AACT_ALI01(1.0),16/12/24 11:00:00,A,40000,CH,2011,79.43,
ESTAT:AACT_ALI01(1.0),16/12/24 11:00:00,A,40000,CH,2012,78.66,
ESTAT:AACT_ALI01(1.0),16/12/24 11:00:00,A,40000,CH,2013,77.30,
ESTAT:AACT_ALI01(1.0),16/12/24 11:00:00,A,40000,CH,2014,77.00,
ESTAT:AACT_ALI01(1.0),16/12/24 11:00:00,A,40000,CH,2015,76.41,
ESTAT:AACT_ALI01(1.0),16/12/24 11:00:00,A,40000,CH,2016,75.61,
ESTAT:AACT_ALI01(1.0),16/12/24 11:00:00,A,40000,CH,2017,74.63,
ESTAT:AACT_ALI01(1.0),16/12/24 11:00:00,A,40000,CH,2018,75.17,
ESTAT:AACT_ALI01(1.0),16/12/24 11:00:00,A,40000,CH,2019,73.97,
ESTAT:AACT_ALI01(1.0),16/12/24 11:00:00,A,40000,CH,2020,72.75,
ESTAT:AACT_ALI01(1.0),16/12/24 11:00:00,A,40000,CH,2021,72.97,
ESTAT:AACT_ALI01(1.0),16/12/24 11:00:00,A,40000,CH,2022,74.70,
ESTAT:AACT_ALI01(1.0),16/12/24 11:00:00,A,40000,CH,2023,74.92,
ESTAT:AACT_ALI01(1.0),16/12/24 11:00:00,A,40000,CH,2024,74.35,e
ESTAT:AACT_ALI01(1.0),16/12/24 11:00:00,A,40000,CY,1999,24.40,
ESTAT:AACT_ALI01(1.0),16/12/24 11:00:00,A,40000,CY,2000,30.72,
ESTAT:AACT_ALI01(1.0),16/12/24 11:00:00,A,40000,CY,2001,30.20,
ESTAT:AACT_ALI01(1.0),16/12/24 11:00:00,A,40000,CY,2002,29.68,
ESTAT:AACT_ALI01(1.0),16/12/24 11:00:00,A,40000,CY,2003,30.62,
ESTAT:AACT_ALI01(1.0),16/12/24 11:00:00,A,40000,CY,2004,30.40,
ESTAT:AACT_ALI01(1.0),16/12/24 11:00:00,A,40000,CY,2005,28.70,
ESTAT:AACT_ALI01(1.0),16/12/24 11:00:00,A,40000,CY,2006,27.30,
ESTAT:AACT_ALI01(1.0),16/12/24 11:00:00,A,40000,CY,2007,25.90,
ESTAT:AACT_ALI01(1.0),16/12/24 11:00:00,A,40000,CY,2008,22.43,
ESTAT:AACT_ALI01(1.0),16/12/24 11:00:00,A,40000,CY,2009,22.54,
ESTAT:AACT_ALI01(1.0),16/12/24 11:00:00,A,40000,CY,2010,20.27,
ESTAT:AACT_ALI01(1.0),16/12/24 11:00:00,A,40000,CY,2011,20.18,
ESTAT:AACT_ALI01(1.0),16/12/24 11:00:00,A,40000,CY,2012,19.90,
ESTAT:AACT_ALI01(1.0),16/12/24 11:00:00,A,40000,CY,2013,18.45,
ESTAT:AACT_ALI01(1.0),16/12/24 11:00:00,A,40000,CY,2014,17.38,
ESTAT:AACT_ALI01(1.0),16/12/24 11:00:00,A,40000,CY,2015,17.12,
ESTAT:AACT_ALI01(1.0),16/12/24 11:00:00,A,40000,CY,2016,18.26,
ESTAT:AACT_ALI01(1.0),16/12/24 11:00:00,A,40000,CY,2017,17.59,
ESTAT:AACT_ALI01(1.0),16/12/24 11:00:00,A,40000,CY,2018,16.31,
ESTAT:AACT_ALI01(1.0),16/12/24 11:00:00,A,40000,CY,2019,21.31,
ESTAT:AACT_ALI01(1.0),16/12/24 11:00:00,A,40000,CY,2020,19.13,
ESTAT:AACT_ALI01(1.0),16/12/24 11:00:00,A,40000,CY,2021,19.17,
ESTAT:AACT_ALI01(1.0),16/12/24 11:00:00,A,40000,CY,2022,18.64,
ESTAT:AACT_ALI01(1.0),16/12/24 11:00:00,A,40000,CY,2023,19.82,
ESTAT:AACT_ALI01(1.0),16/12/24 11:00:00,A,40000,CY,2024,20.07,e
ESTAT:AACT_ALI01(1.0),16/12/24 11:00:00,A,40000,CZ,1998,192.81,
ESTAT:AACT_ALI01(1.0),16/12/24 11:00:00,A,40000,CZ,1999,176.98,
ESTAT:AACT_ALI01(1.0),16/12/24 11:00:00,A,40000,CZ,2000,166.37,
ESTAT:AACT_ALI01(1.0),16/12/24 11:00:00,A,40000,CZ,2001,163.87,
ESTAT:AACT_ALI01(1.0),16/12/24 11:00:00,A,40000,CZ,2002,161.41,
ESTAT:AACT_ALI01(1.0),16/12/24 11:00:00,A,40000,CZ,2003,150.48,
ESTAT:AACT_ALI01(1.0),16/12/24 11:00:00,A,40000,CZ,2004,144.86,
