DATAFLOW,LAST UPDATE,freq,unit,enterpr,nace_r2,reason,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:ACF_D_EQ1(1.0),22/09/11 23:00:00,A,PC,HG,B-E,DEB,MT,2007,0.0,
ESTAT:ACF_D_EQ1(1.0),22/09/11 23:00:00,A,PC,HG,B-E,DEB,MT,2010,0.0,
ESTAT:ACF_D_EQ1(1.0),22/09/11 23:00:00,A,PC,HG,B-E,DEB,NL,2007,0.0,
ESTAT:ACF_D_EQ1(1.0),22/09/11 23:00:00,A,PC,HG,B-E,DEB,NL,2010,0.0,
ESTAT:ACF_D_EQ1(1.0),22/09/11 23:00:00,A,PC,HG,B-E,DEB,PL,2007,0.0,
ESTAT:ACF_D_EQ1(1.0),22/09/11 23:00:00,A,PC,HG,B-E,DEB,PL,2010,0.0,
ESTAT:ACF_D_EQ1(1.0),22/09/11 23:00:00,A,PC,HG,B-E,DEB,SE,2007,0.0,
ESTAT:ACF_D_EQ1(1.0),22/09/11 23:00:00,A,PC,HG,B-E,DEB,SE,2010,0.0,
ESTAT:ACF_D_EQ1(1.0),22/09/11 23:00:00,A,PC,HG,B-E,DEB,SK,2007,0.0,
ESTAT:ACF_D_EQ1(1.0),22/09/11 23:00:00,A,PC,HG,B-E,DEB,SK,2010,16.7,
ESTAT:ACF_D_EQ1(1.0),22/09/11 23:00:00,A,PC,HG,B-E,DEB,UK,2007,0.0,
ESTAT:ACF_D_EQ1(1.0),22/09/11 23:00:00,A,PC,HG,B-E,DEB,UK,2010,25.4,
ESTAT:ACF_D_EQ1(1.0),22/09/11 23:00:00,A,PC,HG,B-E,DEV,BE,2007,0.0,
ESTAT:ACF_D_EQ1(1.0),22/09/11 23:00:00,A,PC,HG,B-E,DEV,BE,2010,30.0,
ESTAT:ACF_D_EQ1(1.0),22/09/11 23:00:00,A,PC,HG,B-E,DEV,BG,2007,0.0,
ESTAT:ACF_D_EQ1(1.0),22/09/11 23:00:00,A,PC,HG,B-E,DEV,BG,2010,40.7,
ESTAT:ACF_D_EQ1(1.0),22/09/11 23:00:00,A,PC,HG,B-E,DEV,CY,2007,0.0,
ESTAT:ACF_D_EQ1(1.0),22/09/11 23:00:00,A,PC,HG,B-E,DEV,CY,2010,0.0,
ESTAT:ACF_D_EQ1(1.0),22/09/11 23:00:00,A,PC,HG,B-E,DEV,DE,2007,0.0,
ESTAT:ACF_D_EQ1(1.0),22/09/11 23:00:00,A,PC,HG,B-E,DEV,DE,2010,17.1,
ESTAT:ACF_D_EQ1(1.0),22/09/11 23:00:00,A,PC,HG,B-E,DEV,DK,2007,0.0,
ESTAT:ACF_D_EQ1(1.0),22/09/11 23:00:00,A,PC,HG,B-E,DEV,DK,2010,20.0,
ESTAT:ACF_D_EQ1(1.0),22/09/11 23:00:00,A,PC,HG,B-E,DEV,EL,2007,0.0,
ESTAT:ACF_D_EQ1(1.0),22/09/11 23:00:00,A,PC,HG,B-E,DEV,EL,2010,0.0,
ESTAT:ACF_D_EQ1(1.0),22/09/11 23:00:00,A,PC,HG,B-E,DEV,ES,2007,0.0,
ESTAT:ACF_D_EQ1(1.0),22/09/11 23:00:00,A,PC,HG,B-E,DEV,ES,2010,32.7,
ESTAT:ACF_D_EQ1(1.0),22/09/11 23:00:00,A,PC,HG,B-E,DEV,FI,2007,0.0,
ESTAT:ACF_D_EQ1(1.0),22/09/11 23:00:00,A,PC,HG,B-E,DEV,FI,2010,0.0,
ESTAT:ACF_D_EQ1(1.0),22/09/11 23:00:00,A,PC,HG,B-E,DEV,FR,2007,0.0,
ESTAT:ACF_D_EQ1(1.0),22/09/11 23:00:00,A,PC,HG,B-E,DEV,FR,2010,15.0,
ESTAT:ACF_D_EQ1(1.0),22/09/11 23:00:00,A,PC,HG,B-E,DEV,IE,2007,0.0,
ESTAT:ACF_D_EQ1(1.0),22/09/11 23:00:00,A,PC,HG,B-E,DEV,IE,2010,0.0,
ESTAT:ACF_D_EQ1(1.0),22/09/11 23:00:00,A,PC,HG,B-E,DEV,IT,2007,0.0,
ESTAT:ACF_D_EQ1(1.0),22/09/11 23:00:00,A,PC,HG,B-E,DEV,IT,2010,0.0,
ESTAT:ACF_D_EQ1(1.0),22/09/11 23:00:00,A,PC,HG,B-E,DEV,LT,2007,0.0,
